Electricity_Usage_kWh,AC_Usage_Hours_Per_Day,Appliances_Used_Count,Household_Members_Persons,Monthly_Bill_PHP
222,12,12,7,6684
468,2,5,3,6565
390,10,16,1,7794
226,9,12,7,6346
191,10,12,7,6098
308,5,19,2,6388
140,2,15,2,4147
222,4,7,4,4746
241,12,5,5,6379
334,12,12,3,8170
450,7,7,7,8584
207,12,7,7,6082
492,8,5,1,7802
219,3,15,4,5327
479,1,9,5,7443
271,4,14,4,5742
250,2,11,6,5398
269,8,14,5,6495
428,4,13,7,8252
377,2,16,7,7098
463,6,11,5,8694
413,6,13,7,7989
311,10,12,3,7245
396,4,16,5,7825
280,6,6,4,6054
433,2,5,5,7082
141,10,20,7,6215
372,12,11,3,8235
355,2,11,3,6167
464,10,18,6,9859
168,4,12,4,4148
178,8,9,2,4877
289,7,7,2,5270
307,12,16,5,8363
390,9,12,6,8276
309,8,10,1,6139
294,5,15,5,6591
170,2,7,6,3697
483,5,5,4,7755
174,8,7,4,5064
363,10,9,4,7451
439,9,19,4,9084
250,12,18,4,6992
426,12,7,6,8914
254,12,5,6,6682
140,9,9,3,5011
448,1,14,2,6696
286,9,11,7,7290
393,7,19,4,7898
208,9,18,1,5387
